 	ActiveWear								
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_Flagship_Resupply_aEnemy_tAlly_FromAlly_MedVehicleState_IG_003_TryToKeep									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_Flagship_Resupply_aEnemy_tAlly_FromAlly_MedVehicleState_IG_004_JavelinsBeenTaking									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_Flagship_Resupply_aEnemy_tAlly_FromAlly_MedVehicleState_IG_005_XenothreatsStartingTo									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_NavyShip_aPlayer_tAlly_FromAlly_IG_001_CheckYourFire									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_NavyShip_aPlayer_tAlly_FromAlly_IG_002_CarefulThatsOne									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_NavyShip_aPlayer_tAlly_FromAlly_IG_003_StopFiringOn									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_NavyShip_aPlayer_tAlly_FromAlly_IG_004_BackOffThats									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_NavyShip_aPlayer_tAlly_FromAlly_IG_005_CeaseFireThats									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_PlayerShip_aPlayer_tAlly_FromAlly_IG_001_WatchWhereYoure									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_PlayerShip_aPlayer_tAlly_FromAlly_IG_002_CheckYourFire									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_PlayerShip_aPlayer_tAlly_FromAlly_IG_003_ThatsAFriendly									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_PlayerShip_aPlayer_tAlly_FromAlly_IG_004_FriendlyTargetRepeat									
PU_ADVREP01_F_DEH_DamageDealt_Vehicle_PlayerShip_aPlayer_tAlly_FromAlly_IG_005_WatchItTheyre									
PU_ADVREP01_F_DEH_DamageDealt_XenoIdris_FocusOnFighters_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_001_IDontThink									
PU_ADVREP01_F_DEH_DamageDealt_XenoIdris_FocusOnFighters_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_002_LetsTakeCare									
PU_ADVREP01_F_DEH_DamageDealt_XenoIdris_FocusOnFighters_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_003_YoureWastingAmmo									
PU_ADVREP01_F_DEH_DamageDealt_XenoIdris_FocusOnFighters_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_004_BestToTake									
PU_ADVREP01_F_DEH_DamageDealt_XenoIdris_FocusOnFighters_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_005_RefocusFireOn									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_001_LostANavy									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_002_WeLostAn									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_003_AhNavyShip									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_004_NavyDownRepeat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_005_OneOfOurs									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_006_FriendlyDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Fighter_Showdown_aEnemy_tAlly_FromAlly_IG_007_LostAFriendly									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedHighHealth_aAlly_tPlayer_FromAlly_IG_001_HowTheHell									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedHighHealth_aAlly_tPlayer_FromAlly_IG_002_WeGotA									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedHighHealth_aAlly_tPlayer_FromAlly_IG_003_JavelinJustGot									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedHighHealth_aAlly_tPlayer_FromAlly_IG_004_ThatWasA									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedHighHealth_aAlly_tPlayer_FromAlly_IG_005_IfTheyCan									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedLowHealth_aAlly_tPlayer_FromAlly_IG_001_JavelinsDownRepeat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedLowHealth_aAlly_tPlayer_FromAlly_IG_002_XenothreatTookOut									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedLowHealth_aAlly_tPlayer_FromAlly_IG_003_JavelinsOutOf									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedLowHealth_aAlly_tPlayer_FromAlly_IG_004_JavelinGotTaken									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_ArrivedLowHealth_aAlly_tPlayer_FromAlly_IG_005_GoddammitWeLost									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_aEnemy_tAlly_FromAlly_IG_001_JavelinsDownRepeat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_aEnemy_tAlly_FromAlly_IG_002_JavelinsBeenTaken									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_aEnemy_tAlly_FromAlly_IG_003_IThinkWe									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_aEnemy_tAlly_FromAlly_IG_004_BeAwareXenothreat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Flagship_Showdown_aEnemy_tAlly_FromAlly_IG_005_GoddammitTheJavelin									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_001_EnemyGunshipHas									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_002_XenothreatGunshipsBeen									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_003_ThatXenothreatGunships									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_004_ScratchOneXenothreat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_005_EnemyGunshipDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_006_ThatGunshipsBeen									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Gunship_Showdown_aAlly_tEnemy_FromAlly_IG_007_XenothreatGunshipsBeen									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_001_WeveGotA									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_002_NavyHammerheadJust									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_003_NavyLostA									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_004_HammerheadDownRepeat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_005_XenothreatJustTook									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_006_FriendlyHammerheadJust									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Hammerhead_Showdown_aEnemy_tAlly_FromAlly_IG_007_OneOfOur									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetIncoming_IG_001_XenothreatIdrisDestroyed									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetIncoming_IG_002_IdrisDownHelluva									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetIncoming_IG_003_CapshipDestroyedXenothreats									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetIncoming_IG_004_GreatJobTaking									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetIncoming_IG_005_ThatsAGood									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNoGroup_IG_001_GreatJobThat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNoGroup_IG_002_LooksLikeThats									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNoGroup_IG_003_LastIdrisHas									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNoGroup_IG_004_ThatsItThats									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNoGroup_IG_005_AllIdrisDestroyed									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_FirstOccur_IG_001_FirstXenothreatIdris									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_FirstOccur_IG_002_GotOurFirst									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_FirstOccur_IG_003_TheresAnIdris									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_FirstOccur_IG_004_BaggedOurFirst									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_FirstOccur_IG_005_FirstIdrisGhosted									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_IG_001_ThatsAnotherIdris									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_IG_002_AnotherIdrisJust									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_IG_003_XenothreatIdrisHas									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_IG_004_HostileIdrisHas									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetNotAlone_IG_005_LooksLikeSomeone									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetWasOnly_IG_001_XenothreatIdrisIs									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetWasOnly_IG_002_WeDidIt									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetWasOnly_IG_003_ThatsItIdris									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetWasOnly_IG_004_EnemyCapshipDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aAlly_tEnemy_FromAlly_TargetWasOnly_IG_005_ThatWasIt									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aEnemy_tAlly_FromAlly_IG_001_NavyReportThat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aEnemy_tAlly_FromAlly_IG_002_OhShitXenothreat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aEnemy_tAlly_FromAlly_IG_003_NavyIdrisIs									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aEnemy_tAlly_FromAlly_IG_004_WeLostAn									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Idris_Showdown_aEnemy_tAlly_FromAlly_IG_005_TheyJustTook									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_001_GoodKillHelluva									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_002_ThatsAKill									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_003_EnemyDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_004_ThatsWhatI									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_ProtectFlagship_aPlayer_tEnemy_FromAlly_IG_005_OneLastXenothreat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aAlly_tEnemy_FromAlly_IG_001_GotAHostile									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aAlly_tEnemy_FromAlly_IG_002_GoodKill									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aAlly_tEnemy_FromAlly_IG_003_XenothreatShipDestroyed									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aAlly_tEnemy_FromAlly_IG_004_EnemyShipDestroyed									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aAlly_tEnemy_FromAlly_IG_005_XenothreatShipDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_001_TargetDownNice									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_002_GoodKill									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_003_NiceShotPilot									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_004_HostileDown									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_005_TargetEliminated									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_006_HostileEliminated									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_Showdown_aPlayer_tEnemy_FromAlly_IG_007_ThatsAKill									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetBigGroup_IG_001_StillGotA									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetBigGroup_IG_002_KeepAtIt									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetBigGroup_IG_003_StillPlentyOf									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetBigGroup_IG_004_WereMakingProgress									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetBigGroup_IG_005_AboutAQuarter									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetMedGroup_IG_001_ItsLookingLike									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetMedGroup_IG_002_YouveCutXenothreat									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetMedGroup_IG_003_IveGotHalf									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetMedGroup_IG_004_ThatsAboutHalf									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetMedGroup_IG_005_EnemyForcesAre									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetSmallGroup_IG_001_JustAHandful									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetSmallGroup_IG_002_GettingCloseNot									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetSmallGroup_IG_003_TheyreHurtingNow									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetSmallGroup_IG_004_TheCounteroffensivesWorking									
PU_ADVREP01_F_DEH_Destroyed_Vehicle_aAlly_tEnemy_FromAlly_TargetSmallGroup_IG_005_TheresOnlyAbout									
PU_ADVREP01_F_DEH_Enter_MissionArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_001_ThisIsYour									
PU_ADVREP01_F_DEH_Enter_MissionArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_002_WelcomeToThe									
PU_ADVREP01_F_DEH_Enter_MissionArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_003_GoodToHave									
PU_ADVREP01_F_DEH_Enter_MissionArea_Showdown_aAlly_tPlayer_FromAlly_IG_001_YoureOnSite									
PU_ADVREP01_F_DEH_Enter_MissionArea_Showdown_aAlly_tPlayer_FromAlly_IG_002_HereWeGo									
PU_ADVREP01_F_DEH_Enter_MissionArea_Showdown_aAlly_tPlayer_FromAlly_IG_003_YouReadyHere									
PU_ADVREP01_F_DEH_Enter_MissionArea_Showdown_aAlly_tPlayer_FromAlly_IG_004_YoureAtThe									
PU_ADVREP01_F_DEH_Enter_MissionArea_Showdown_aAlly_tPlayer_FromAlly_IG_005_ReadyOrNot									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_001_WelcomeToINS									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_002_TheNavyWelcomes									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_FirstOccur_IG_003_YouveMadeIt									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_inCombat_FirstOccur_IG_001_ThisIsGoing									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_inCombat_FirstOccur_IG_002_YoureAboutTo									
PU_ADVREP01_F_DEH_Enter_StationArea_Resupply_aAlly_tPlayer_FromAlly_inCombat_FirstOccur_IG_003_GladYouMade									
PU_ADVREP01_F_DEH_Enter_WreckSiteArea_aAlly_tPlayer_FromAlly_FirstOccur_IG_001_WeLostContact									
PU_ADVREP01_F_DEH_Enter_WreckSiteArea_aAlly_tPlayer_FromAlly_FirstOccur_IG_002_SomeOfOur									
PU_ADVREP01_F_DEH_Enter_WreckSiteArea_aAlly_tPlayer_FromAlly_FirstOccur_IG_003_TimeToPut									
PU_ADVREP01_F_DEH_Enter_Wreck_aAlly_tPlayer_FromAlly_FirstOccur_IG_001_OkayIHope									
PU_ADVREP01_F_DEH_Enter_Wreck_aAlly_tPlayer_FromAlly_FirstOccur_IG_002_DidYouScan									
PU_ADVREP01_F_DEH_Enter_Wreck_aAlly_tPlayer_FromAlly_FirstOccur_IG_003_IveBeenGetting									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_FirstOccur_IG_001_XenothreatJustPopped									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_FirstOccur_IG_002_WeveGotAn									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_FirstOccur_IG_003_XenosMustBe									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_FirstOccur_IG_004_NeedHelpDefending									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_FirstOccur_IG_005_GottaProtectThat									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_001_GotAVisual									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_002_DealingWithAn									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_003_TimeToTussle									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_004_XenothreatBroughtIn									
PU_ADVREP01_F_DEH_Enter_XenoIdrisArea_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_005_XenosThinkThey									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_001_WeveLostOne									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_002_XenothreatTookOut									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_003_JustGotWord									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_004_NavalSupplyShip									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_005_XenothreatAmbushedOne									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_006_ASupplyShip									
PU_ADVREP01_F_DEH_Failed_Mission_NotTakePart_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_007_XenothreatTookOut									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_001_LostASupply									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_002_NavySupplyShip									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_003_XenothreatTookOut									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_004_FriendlySupplyShip									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_005_JustLostOne									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_006_NavyConvoyShip									
PU_ADVREP01_F_DEH_Failed_Mission_ProtectSupplyShip_aAlly_tPlayer_FromAlly_IG_007_FriendlyConvoyShip									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aAlly_tPlayer_FromAlly_IG_001_ImGonnaBe									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aAlly_tPlayer_FromAlly_IG_002_ThisWasA									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aAlly_tPlayer_FromAlly_IG_003_ImNotGoing									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aAlly_tPlayer_FromAlly_IG_004_WeLostToday									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aAlly_tPlayer_FromAlly_IG_005_ThatWasDissapointing									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aNeutral_tSystem_FromNeutral_IG_001_AttentionStantonSystem									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aNeutral_tSystem_FromNeutral_IG_002_ThisIsSAIC									
PU_ADVREP01_F_DEH_Failed_Mission_Resupply_aNeutral_tSystem_FromNeutral_IG_003_AttentionThisIs									
PU_ADVREP01_F_DEH_Farewell_aAlly_tPlayer_FromAlly_IG_001_DulliOut									
PU_ADVREP01_F_DEH_Farewell_aAlly_tPlayer_FromAlly_IG_002_OverAndOut									
PU_ADVREP01_F_DEH_Farewell_aAlly_tPlayer_FromAlly_IG_003_TalkToYou									
PU_ADVREP01_F_DEH_Farewell_aAlly_tPlayer_FromAlly_IG_004_SigningOff									
PU_ADVREP01_F_DEH_Farewell_aAlly_tPlayer_FromAlly_IG_005_CommOut									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_IG_001_ListenUpThis									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_IG_002_SpecialAgentDulli									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_IG_003_ThisIsDulli									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_IG_004_SAICDulliHere									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_IG_005_ThisIsDulli									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_inCombat_IG_001_DulliHere									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_inCombat_IG_002_CDFYouCopy									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_inCombat_IG_003_YouCopyDulli									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_inCombat_IG_004_DulliHereListen									
PU_ADVREP01_F_DEH_Greet_aAlly_tPlayer_FromAlly_inCombat_IG_005_HeyDulliHere									
PU_ADVREP01_F_DEH_Hint_Exit_CargoBayDoor_aAlly_tPlayer_FromAlly_inRelaxed_FirstOccur_IG_001_JustAHeads									
PU_ADVREP01_F_DEH_Hint_Exit_CargoBayDoor_aAlly_tPlayer_FromAlly_inRelaxed_FirstOccur_IG_002_IfTheWreck									
PU_ADVREP01_F_DEH_Hint_Exit_CargoBayDoor_aAlly_tPlayer_FromAlly_inRelaxed_FirstOccur_IG_003_IveBeenHearing									
PU_ADVREP01_F_DEH_Hint_Mission_FocusOnFighters_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_001_DoesntLookLike									
PU_ADVREP01_F_DEH_Hint_Mission_FocusOnFighters_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_002_WeNeedTo									
PU_ADVREP01_F_DEH_Hint_Mission_FocusOnFighters_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_003_TheresStillToo									
PU_ADVREP01_F_DEH_Hint_Mission_FocusOnFighters_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_004_TheyreGoingTo									
PU_ADVREP01_F_DEH_Hint_Mission_FocusOnFighters_ProtectFlagship_aAlly_tPlayer_FromAlly_IG_005_TargetTheXeno									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_PrevPhaseFail_aAlly_tAlly_FromAlly_IG_001_GoodNewsNavy									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_PrevPhaseFail_aAlly_tAlly_FromAlly_IG_002_NavyJustSent									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_PrevPhaseFail_aAlly_tAlly_FromAlly_IG_003_NavySaidThe									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_PrevPhaseFail_aAlly_tAlly_FromAlly_IG_004_NavyJustFinished									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_PrevPhaseFail_aAlly_tAlly_FromAlly_IG_005_ReadyUpNavy									
PU_ADVREP01_F_DEH_Inform_ReinforcementsCall_Flagship_Showdown_aAlly_tAlly_FromAlly_IG_001_GoodNewsNavy									
